Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description
starter-kit-costura,Starter Kit Costura,"<p>Kit principiante: hilo poliéster, agujas universales, marcador. Casos: poleras, reparaciones, pruebas en retazo. Cross-sell: tijeras y regla patchwork.</p>",Tiendas Lupe,Bundle,"bundle,principiante,insumos,costura,CLP",TRUE,Title,Default Title,SKU-ST-KIT,19990,24990,,Starter Kit Costura Chile | Tiendas Lupe,Kit inicio con hilo y agujas. Ideal principiantes. Envío Chile CLP.
porta-bobinas-universal-metal,Porta bobinas universal metal,"<p>Orden y velocidad de cambio. Emprendedor. Cross-sell: bobinas metal.</p>",Tiendas Lupe,Accesorios,"porta-bobinas,metal,CLP",TRUE,Title,Default Title,SKU-PBOB-1,5990,7490,,Porta bobinas universal | Tiendas Lupe,Estabiliza hilo en alta velocidad.
organizador-agujas-magnetico,Organizador agujas magnético,"<p>Seguridad y visibilidad de calibres. Taller. Cross-sell: caja agujas surtidas.</p>",Tiendas Lupe,Herramientas,"organizador,aguja,magnetico,CLP",TRUE,Title,Default Title,SKU-OAG-1,4990,6490,,Organizador agujas magnético | Tiendas Lupe,Evita pérdidas y mezclas de calibre.
marcador-tiza-blanco-triangular,Marcador tiza blanco triangular,"<p>Marcado tela oscura. Principiante. Cross-sell: tijeras y regla.</p>",Tiendas Lupe,Herramientas,"marcador,tiza,CLP",TRUE,Title,Default Title,SKU-MTZ-B,1490,1990,,Marcador tiza blanco | Tiendas Lupe,Trazos visibles y borrables con vapor.
regla-patchwork-30x15,Regla patchwork 30x15 cm,"<p>Corte preciso patchwork. Keywords: regla acrílico. Cross-sell: cutter rotativo.</p>",Tiendas Lupe,Herramientas,"regla,patchwork,CLP",TRUE,Title,Default Title,SKU-REG-3015,8990,10990,,Regla patchwork 30x15 | Tiendas Lupe,Escuadra para bloques y tiras.
piedra-afilar-industrial,Piedra afilar industrial,"<p>Cuchillas y garfios. Taller. Cross-sell: aceite máquina.</p>",Tiendas Lupe,Repuestos,"piedra,afilar,industrial,CLP",TRUE,Title,Default Title,SKU-PIA-1,24990,29990,,Piedra afilar industrial | Tiendas Lupe,Mantenimiento corte limpio prolongado.
bobina-metal-22mm-unidad,Bobina metal 22 mm,"<p>Hilo fino y bordado. Cross-sell: hilo y aguja fina.</p>",Tiendas Lupe,Repuestos,"bobina,metal,22mm,CLP",TRUE,Title,Default Title,SKU-BOB-22,990,1290,,Bobina metal 22 mm | Tiendas Lupe,Estabilidad alta RPM.
prensatelas-cremallera-oculta,Prensatelas cremallera oculta,"<p>Acabado profesional polerones. Emprendedor. Cross-sell: cierres y hilo.</p>",Tiendas Lupe,Repuestos,"prensatelas,cremallera,CLP",TRUE,Title,Default Title,SKU-PRE-CZ,12990,15990,,Prensatelas cremallera oculta | Tiendas Lupe,Mejora velocidad de ensamble.
broche-plastico-12mm-x100,Broche plástico 12 mm bolsa 100 u,"<p>Ropa infantil y sport. Cross-sell: alfileres y elástico.</p>",Tiendas Lupe,Insumos,"broche,plastico,CLP",TRUE,Title,Default Title,SKU-BRO-12,4990,6490,,Broche plástico 12 mm | Tiendas Lupe,Cierre rápido por volumen.
velcro-gancho-rollo-20mm-5m,Velcro gancho rollo 20 mm x 5 m,"<p><strong>Keywords:</strong> velcro, gancho, calzado, sport. Cross-sell: velcro loop y tijeras.</p>",Tiendas Lupe,Insumos,"velcro,gancho,rollo,CLP",TRUE,Title,Default Title,SKU-VEL-G20,6990,8990,,Velcro gancho 20 mm | Tiendas Lupe,Rollo para producción continua.
entretela-termoadhesiva-fina-90cm,Entretela termoadhesiva fina 90 cm,"<p>Refuerzo liviano. Keywords: entretela, termoadhesiva. Cross-sell: hilo fino.</p>",Tiendas Lupe,Insumos,"entretela,termoadhesiva,CLP",TRUE,Title,Default Title,SKU-ENT-F90,3990,4990,,Entretela termoadhesiva fina | Tiendas Lupe,Control de rigidez sin engrosar.
lampara-led-maquina-usb,Lámpara LED máquina USB,"<p>Iluminación costura nocturna. Cross-sell: bobinas y agujas.</p>",Tiendas Lupe,Accesorios,"lampara,led,usb,CLP",TRUE,Title,Default Title,SKU-LED-USB,8990,10990,,Lámpara LED máquina USB | Tiendas Lupe,Reduce fatiga visual en detalle.
cubre-bobina-silicona-universal,Cubre bobina silicona universal,"<p><strong>Keywords:</strong> cubre bobina, silicona, anti vibración. Cross-sell: porta bobinas.</p>",Tiendas Lupe,Accesorios,"cubre-bobina,silicona,CLP",TRUE,Title,Default Title,SKU-CBOB-S,2490,2990,,Cubre bobina silicona | Tiendas Lupe,Mejora tensión en conos grandes.
